wavelength,0,1,2,3,4,5,6,7,8,9,10
439.281,16,10,13,11,8,6,3,2,3,4,-1
439.742,12,9,8,7,6,6,4,-1,-2,4,1
440.203,13,13,12,9,4,6,4,1,2,6,4
440.665,15,15,12,8,7,4,5,2,4,-2,0
441.126,17,11,10,12,5,4,1,4,1,5,0
441.588,16,11,11,6,9,5,5,3,3,2,-3
442.049,16,18,12,9,8,3,3,3,5,4,0
442.511,17,15,14,13,3,8,4,-1,3,4,6
442.973,16,12,14,13,6,7,-1,-2,4,4,2
443.434,18,10,16,5,7,3,5,4,-2,1,-1
443.896,18,14,12,13,9,8,5,5,2,2,2
444.358,17,11,14,9,6,7,7,5,0,-1,1
444.819,18,18,13,10,6,10,3,-2,2,1,5
445.281,16,13,10,10,6,3,6,3,-1,2,-2
445.743,23,14,12,14,9,11,4,0,2,-1,2
446.205,22,18,14,14,9,11,11,8,6,8,6
446.667,14,11,10,2,6,5,3,-4,0,1,-2
447.129,14,13,12,11,7,7,4,4,4,2,-2
447.591,16,15,13,11,12,6,4,6,6,0,1
448.053,23,10,12,10,13,8,9,1,7,5,7
448.515,14,11,13,10,6,5,4,-2,-2,-3,1
448.977,12,17,16,10,8,12,8,2,5,8,4
449.439,13,10,11,7,4,4,6,5,0,-1,3
449.902,16,10,13,9,8,6,4,7,3,2,3
450.364,12,11,11,8,6,3,7,5,3,0,1
450.826,18,13,10,7,6,7,9,-1,0,0,4
451.288,15,13,8,10,10,8,6,1,3,0,3
451.751,15,13,11,10,8,5,3,4,4,1,2
452.213,11,11,12,3,5,1,5,2,1,1,-2
452.676,15,6,6,9,3,5,2,1,-1,-1,-3
453.138,13,14,7,8,8,7,1,1,4,4,2
453.601,13,7,6,6,3,1,6,-1,-2,-1,-5
454.063,11,7,7,10,1,-2,-4,0,-3,-3,-2
454.526,12,12,10,7,6,5,1,4,1,4,-1
454.988,13,11,12,10,8,8,8,2,2,5,4
455.451,7,11,7,2,2,1,0,-2,0,-1,-3
455.914,14,16,15,10,6,6,6,3,3,1,2
456.376,14,11,11,11,13,8,5,1,2,5,3
456.839,16,15,16,9,7,7,3,2,2,-1,0
457.302,19,14,16,12,5,6,5,0,1,4,1
457.765,16,16,17,12,7,4,0,4,4,-1,2
458.228,15,16,14,8,10,7,10,5,9,7,2
458.69,17,10,15,5,5,6,4,3,2,1,2
459.153,19,12,12,11,9,6,6,-2,-1,4,0
459.616,15,11,11,11,5,8,5,3,0,-4,-2
460.079,18,15,17,12,6,6,3,1,2,3,2
460.543,18,16,11,5,9,5,2,3,2,7,-1
461.006,16,17,13,11,10,8,4,5,5,10,-3
461.469,20,17,12,17,8,8,6,3,4,4,0
461.932,14,15,11,10,7,8,5,2,-1,1,2
462.395,15,14,15,7,10,9,4,2,1,2,3
462.858,13,12,8,6,9,6,7,6,5,3,0
463.322,22,16,15,10,11,6,11,4,4,7,4
463.785,16,12,12,10,6,2,2,-1,5,1,-2
