433.286,23,23,10,9,5,4,2,1,3
433.747,25,25,8,9,4,2,-3,-1,-4
434.208,24,24,6,5,7,1,-1,-3,4
434.669,27,27,10,9,6,4,2,1,7
435.13,19,19,8,1,5,3,0,-4,1
435.591,21,21,7,3,5,2,-1,1,-1
436.052,23,23,6,4,-1,-3,1,-2,-2
436.513,23,23,10,6,4,3,1,0,-1
436.974,25,25,9,7,9,3,2,3,3
437.436,23,23,8,7,5,3,3,0,2
437.897,22,22,6,7,5,3,5,4,3
438.358,25,25,12,4,4,4,-1,1,2
438.819,26,26,10,9,5,0,5,1,2
439.281,21,21,10,5,-3,0,7,3,4
439.742,25,25,8,4,6,4,3,6,2
440.203,22,22,8,7,5,0,0,3,2
440.665,20,20,7,-7,2,2,0,3,1
441.126,20,20,7,4,5,1,1,-1,3
441.588,19,19,6,7,5,2,6,1,5
442.049,22,22,10,2,5,4,1,5,2
442.511,24,24,7,5,1,0,0,0,-1
442.973,25,25,7,2,5,2,-2,-2,-2
443.434,18,18,8,3,1,0,1,1,0
443.896,23,23,9,6,3,3,3,1,3
444.358,19,19,10,6,4,5,0,1,1
444.819,20,20,8,8,4,1,-1,1,1
445.281,22,22,9,5,5,0,-1,-2,-4
445.743,25,25,8,5,0,0,2,3,2
446.205,23,23,10,7,8,4,7,3,5
446.667,22,22,6,4,4,0,-5,-3,2
447.129,21,21,6,6,4,-1,2,3,-2
447.591,21,21,6,3,9,4,-2,1,2
448.053,18,18,9,9,4,8,5,3,8
448.515,20,20,10,0,-1,-4,3,-1,0
448.977,18,18,5,5,6,0,1,2,2
449.439,16,16,6,4,-3,2,-1,1,-2
449.902,18,18,6,8,5,-1,-1,4,1
450.364,20,20,6,8,5,3,2,1,5
450.826,18,18,7,8,2,2,6,1,3
451.288,19,19,7,3,2,5,2,-2,0
451.751,18,18,5,6,0,2,1,3,2
452.213,15,15,2,1,2,1,2,-1,2
452.676,21,21,7,6,0,2,3,-3,3
453.138,17,17,7,5,2,3,6,1,3
453.601,16,16,3,2,-4,1,-6,0,-5
454.063,17,17,4,-1,0,4,-2,-1,-4
454.526,17,17,6,5,6,1,2,2,3
454.988,20,20,6,0,4,6,5,-3,3
455.451,17,17,1,4,1,1,-3,0,-1
455.914,20,20,6,7,2,1,-1,3,-2
456.376,20,20,9,5,4,3,-1,3,5
456.839,21,21,3,6,4,-3,2,6,3
457.302,22,22,10,8,3,2,6,1,6
457.765,18,18,7,5,5,6,1,2,2
458.228,21,21,5,5,5,0,5,4,6
458.69,16,16,5,2,0,-2,-3,2,1
459.153,19,19,3,5,2,-3,0,1,2
459.616,16,16,9,6,7,-1,4,-5,1
460.079,22,22,6,8,1,2,1,1,5
460.543,16,16,7,5,1,2,-4,-1,0
461.006,21,21,9,7,7,5,-1,1,3
461.469,19,19,10,4,5,5,0,5,5
461.932,21,21,8,5,5,4,-2,4,1
462.395,16,16,7,4,4,1,4,4,0
462.858,19,19,5,1,3,2,-1,1,1
463.322,16,16,7,6,6,5,3,4,2
463.785,16,16,4,2,0,0,-2,-1,1
464.248,18,18,10,7,4,0,2,7,3
464.712,15,15,8,7,6,5,2,2,3
465.175,14,14,8,4,6,3,6,0,0
465.639,16,16,3,2,9,0,1,-1,1
466.102,16,16,6,3,1,2,3,3,0
466.566,13,13,2,4,4,1,0,0,0
467.029,14,14,6,4,1,2,0,1,3
467.493,21,21,3,3,0,2,0,-1,-2
467.957,17,17,7,7,1,2,1,-4,2
468.42,14,14,5,8,2,0,-2,-1,3
468.884,17,17,2,1,0,-2,-2,-1,-2
469.348,14,14,7,8,4,2,-2,0,4
469.812,17,17,7,2,3,0,7,-4,1
470.276,16,16,6,6,5,5,-2,1,2
470.74,20,20,10,9,6,3,3,4,6
471.204,15,15,5,3,-3,1,-3,-2,-3
471.667,18,18,3,-1,0,1,-2,-2,1
472.131,17,17,9,5,6,0,1,3,3
472.596,18,18,6,2,1,-1,-2,-6,1
473.06,19,19,9,8,4,2,5,3,5
473.524,17,17,6,4,0,0,1,0,2
473.988,16,16,6,4,2,0,2,-2,4
474.452,18,18,10,2,9,4,-2,1,7
474.916,19,19,9,3,11,5,1,4,4
475.381,13,13,6,4,1,0,-2,-3,-3
475.845,17,17,9,3,2,2,5,3,2
476.309,22,22,8,3,6,5,8,3,1
476.774,18,18,9,6,4,-1,2,0,4
477.238,16,16,9,4,3,3,-1,2,5
477.703,14,14,7,1,4,3,-4,-4,0
478.167,19,19,6,9,8,6,3,1,6
478.632,17,17,2,0,1,-2,-3,-3,-2
479.096,14,14,5,5,4,5,1,0,2
479.561,13,13,6,5,2,0,1,0,2
480.026,17,17,5,5,5,1,-1,2,1
480.49,17,17,9,5,0,2,0,1,3
480.955,14,14,5,3,6,2,-2,1,2
481.42,17,17,4,2,3,-1,-2,-4,0
