wavelength,1,2,3,4,5,6,7,8,9,10
413.964,103,48,13,7,5,3,2,7,-1,2
414.423,98,48,15,10,10,5,7,4,5,4
414.882,98,43,16,8,7,2,2,6,2,5
415.342,92,41,16,10,9,7,3,6,4,2
415.801,89,42,14,13,6,4,5,1,2,4
416.261,89,44,17,11,6,5,7,0,3,5
416.72,80,39,13,8,7,6,5,2,6,4
417.18,80,38,13,11,6,5,6,2,7,3
417.639,77,40,12,5,4,0,2,6,3,0
418.099,74,35,10,6,5,0,3,2,0,0
418.558,74,30,8,7,1,4,1,4,-3,2
419.018,73,30,13,4,2,6,1,1,5,-1
419.478,69,34,7,10,5,4,-2,2,6,1
419.937,72,39,12,9,9,6,6,7,1,4
420.397,73,32,18,7,7,3,3,-2,4,6
420.857,70,38,13,13,7,3,5,2,7,4
421.317,67,29,10,6,6,3,0,-1,1,5
421.777,65,31,10,4,6,2,1,6,2,2
422.237,63,30,11,8,5,1,0,3,1,3
422.697,61,27,9,3,5,3,-1,-2,2,-1
423.157,58,20,4,7,1,-2,-9,2,2,-3
423.617,63,33,9,12,5,2,6,11,6,7
424.077,57,26,11,7,6,5,2,-2,4,3
424.537,54,28,12,8,2,1,3,6,-1,5
424.997,49,26,8,6,4,2,3,7,0,1
425.457,47,27,5,4,2,4,1,2,3,0
425.917,51,24,9,6,2,2,-1,1,-1,-5
426.378,54,23,9,6,7,2,7,4,1,4
426.838,48,22,8,8,7,3,5,0,0,5
427.298,44,21,7,4,4,3,3,-2,2,3
427.759,48,25,4,7,5,6,3,8,6,5
428.219,38,10,3,-3,-1,-3,-1,1,-6,-3
428.68,40,22,9,6,4,0,6,5,5,2
429.14,41,20,8,8,1,-3,3,2,1,4
429.601,49,21,11,8,5,8,1,7,4,3
430.061,48,23,13,6,3,5,2,8,4,2
430.522,46,24,12,5,5,1,-2,5,1,3
430.983,46,19,7,4,4,1,0,3,1,4
431.443,45,18,9,8,5,1,4,2,2,2
431.904,45,22,9,5,4,3,0,7,1,1
432.365,45,23,11,7,5,8,1,8,4,3
432.825,42,24,10,12,6,2,4,6,4,4
433.286,40,17,8,6,2,0,2,0,-2,1
433.747,42,19,7,4,0,-1,1,1,2,2
434.208,37,18,5,3,-1,0,0,2,-1,0
434.669,45,20,9,3,7,3,4,9,3,2
435.13,36,16,5,6,2,-3,-5,1,-3,-2
435.591,35,22,9,3,4,-3,4,-4,-1,-2
436.052,36,16,7,2,-1,3,-2,-1,-2,-1
436.513,36,15,5,7,3,-1,1,3,4,2
436.974,38,19,9,7,7,6,6,7,6,6
437.436,36,17,7,6,9,3,2,4,2,0
437.897,35,17,5,5,4,4,2,4,-1,6
438.358,34,18,3,3,4,5,1,5,2,4
438.819,35,17,11,4,3,6,4,6,4,-2
439.281,35,21,6,10,3,5,3,8,0,4
439.742,34,17,6,3,3,1,0,2,0,2
440.203,38,20,7,6,2,3,3,4,-3,2
440.665,36,17,7,6,1,5,-1,1,5,0
441.126,35,18,4,3,1,4,4,3,0,-1
441.588,35,16,7,3,7,1,6,2,5,-1
442.049,37,18,8,10,6,7,3,3,2,4
442.511,37,20,9,6,6,3,-3,4,-2,5
442.973,35,22,8,6,2,4,0,4,5,4
443.434,35,16,6,6,6,-1,2,6,5,3
443.896,37,21,9,8,7,5,1,0,0,0
444.358,31,16,2,8,7,0,0,-1,-1,1
444.819,37,20,7,9,2,9,2,4,1,5
445.281,30,17,6,4,2,3,0,3,4,1
445.743,34,19,7,8,3,2,1,1,2,1
446.205,39,20,12,7,8,8,8,4,4,6
446.667,34,13,4,7,3,1,3,0,0,0
447.129,34,14,5,10,3,3,2,4,4,2
447.591,33,16,11,2,3,1,4,3,3,1
448.053,34,20,9,5,6,3,3,7,5,2
448.515,34,15,3,1,1,-2,2,2,0,-1
448.977,40,15,6,10,6,1,5,6,1,7
449.439,31,19,5,2,0,-3,-2,2,0,0
449.902,32,14,5,6,4,1,5,5,3,1
450.364,29,18,8,1,4,4,1,3,-1,2
450.826,29,14,6,3,8,3,2,1,0,3
451.288,33,16,5,4,1,3,-1,5,-2,4
